"","From","To","age","sex","psi",".lower",".upper",".width",".point",".interval"
"371","BLNWR","BLNWR",1,0,0.999253339222353,0.998682989291695,0.999589703886018,0.9,"mean","qi"
"372","BLNWR","BLNWR",1,1,0.998640643416839,0.997686116735868,0.99921539989689,0.9,"mean","qi"
"373","BLNWR","BS",0,0,5.5096342445607e-08,1.86628790138762e-08,1.27745500172323e-07,0.9,"mean","qi"
"374","BLNWR","BS",0,1,1.00746709234226e-07,3.59328707330161e-08,2.38280835991981e-07,0.9,"mean","qi"
"375","BLNWR","BS",1,0,8.55580572530003e-08,2.83032679345291e-08,1.95711634193422e-07,0.9,"mean","qi"
"376","BLNWR","BS",1,1,1.55681345637764e-07,5.264592729496e-08,3.59324298930074e-07,0.9,"mean","qi"
"377","BLNWR","CNWR",0,0,0.000259183091287881,0.000140566324621486,0.00045299100036324,0.9,"mean","qi"
"378","BLNWR","CNWR",0,1,0.000474949761733046,0.000261118676519671,0.000824534001314745,0.9,"mean","qi"
"379","BLNWR","CNWR",1,0,0.000400643011923366,0.000223290647506037,0.000691340096082319,0.9,"mean","qi"
"380","BLNWR","CNWR",1,1,0.000729422380905165,0.000427473934092694,0.00122021551022874,0.9,"mean","qi"
"381","BLNWR","HB",0,0,2.25214805725425e-06,9.81221705984742e-07,4.56508661877033e-06,0.9,"mean","qi"
"382","BLNWR","HB",0,1,4.12165327784811e-06,1.82085038548972e-06,8.64571343240754e-06,0.9,"mean","qi"
"383","BLNWR","HB",1,0,3.492235039837e-06,1.48054517661713e-06,7.31115498559062e-06,0.9,"mean","qi"
"384","BLNWR","HB",1,1,6.35568689035413e-06,2.86389077835173e-06,1.29783038933036e-05,0.9,"mean","qi"
"385","BLNWR","HI",0,0,3.05621325528238e-07,1.18396309871483e-07,6.70703868218757e-07,0.9,"mean","qi"
"386","BLNWR","HI",0,1,5.59145962724275e-07,2.29821072514883e-07,1.25398343367842e-06,0.9,"mean","qi"
"387","BLNWR","HI",1,0,4.7413743303981e-07,1.77425396248477e-07,1.032312624815e-06,0.9,"mean","qi"
"388","BLNWR","HI",1,1,8.62895711055969e-07,3.40977701991216e-07,1.88563276529483e-06,0.9,"mean","qi"
"389","BLNWR","LINWR",0,0,1.77990652287811e-05,8.73652022376559e-06,3.28517737982483e-05,0.9,"mean","qi"
"390","BLNWR","LINWR",0,1,3.25927480030716e-05,1.59865243545413e-05,6.18055038112034e-05,0.9,"mean","qi"
"391","BLNWR","LINWR",1,0,2.75647632805859e-05,1.32266594434699e-05,5.34431468924846e-05,0.9,"mean","qi"
"392","BLNWR","LINWR",1,1,5.01748200471815e-05,2.59466830298191e-05,9.36860492410828e-05,0.9,"mean","qi"
"393","BLNWR","LL",0,0,3.06921302969189e-05,1.56187302737713e-05,5.5806431381026e-05,0.9,"mean","qi"
"394","BLNWR","LL",0,1,5.62250856330827e-05,2.80677008033226e-05,0.000103763136426975,0.9,"mean","qi"
"395","BLNWR","LL",1,0,4.74836881928846e-05,2.41387962156386e-05,9.14153185702134e-05,0.9,"mean","qi"
"396","BLNWR","LL",1,1,8.64492465227241e-05,4.61549673967474e-05,0.000154345448076433,0.9,"mean","qi"
"397","BLNWR","M",0,0,2.37854637010197e-07,8.99193561091825e-08,5.26913899393242e-07,0.9,"mean","qi"
"398","BLNWR","M",0,1,4.35009066689053e-07,1.72679605398583e-07,1.00181931602293e-06,0.9,"mean","qi"
"399","BLNWR","M",1,0,3.69296228892989e-07,1.33463413803411e-07,8.01884302356777e-07,0.9,"mean","qi"
"400","BLNWR","M",1,1,6.71959366131472e-07,2.53732992994431e-07,1.4967097377868e-06,0.9,"mean","qi"
"401","BLNWR","P",0,0,2.85179603669929e-06,1.25262094767785e-06,5.7388195714133e-06,0.9,"mean","qi"
"402","BLNWR","P",0,1,5.22135313001136e-06,2.36579461730146e-06,1.05559843457109e-05,0.9,"mean","qi"
"403","BLNWR","P",1,0,4.41758855626727e-06,1.93553104377595e-06,9.33930080406809e-06,0.9,"mean","qi"
"404","BLNWR","P",1,1,8.04175748685045e-06,3.75766354674557e-06,1.54158746319524e-05,0.9,"mean","qi"
"405","BLNWR","RLNWR_N",0,0,3.42063343760593e-06,1.45914260792252e-06,7.23336460223064e-06,0.9,"mean","qi"
"406","BLNWR","RLNWR_N",0,1,6.25804868593555e-06,2.71089056140036e-06,1.31676289510788e-05,0.9,"mean","qi"
"407","BLNWR","RLNWR_N",1,0,5.31092536347982e-06,2.16659415808442e-06,1.15448156638e-05,0.9,"mean","qi"
"408","BLNWR","RLNWR_N",1,1,9.66408207842513e-06,4.1921407047957e-06,2.02147382821326e-05,0.9,"mean","qi"
"409","BLNWR","RLNWR_S",0,0,5.87659254291526e-06,2.64704193582851e-06,1.18775362017652e-05,0.9,"mean","qi"
"410","BLNWR","RLNWR_S",0,1,1.07540602491264e-05,4.84133170293087e-06,2.1978288957816e-05,0.9,"mean","qi"
"411","BLNWR","RLNWR_S",1,0,9.11680279843987e-06,3.93243572739456e-06,1.89707799196116e-05,0.9,"mean","qi"
"412","BLNWR","RLNWR_S",1,1,1.65908089314439e-05,7.57004115685906e-06,3.33530733633778e-05,0.9,"mean","qi"
"413","BLNWR","WL",0,0,0.000155128496802469,8.27300722656881e-05,0.00027223578657613,0.9,"mean","qi"
"414","BLNWR","WL",0,1,0.000284246298306065,0.000153451803924681,0.000499508376580395,0.9,"mean","qi"
"415","BLNWR","WL",1,0,0.000239852757526917,0.000132065780449192,0.000421935267559104,0.9,"mean","qi"
"416","BLNWR","WL",1,1,0.000436678227728554,0.000252683544864246,0.000740120638875385,0.9,"mean","qi"
"417","LL","BB",0,0,2.74425239427379e-05,1.87117968551335e-05,3.90361440828005e-05,0.9,"mean","qi"
"418","LL","BB",0,1,5.02518293265656e-05,3.39101720010681e-05,7.39646147154016e-05,0.9,"mean","qi"
"419","LL","BB",1,0,4.24993005997054e-05,2.85074414831854e-05,6.00147521735939e-05,0.9,"mean","qi"
"420","LL","BB",1,1,7.7214549004209e-05,5.4606873364491e-05,0.00010610439334338,0.9,"mean","qi"
"421","LL","BLNWR",0,0,5.3620155199762e-05,2.70925346235698e-05,9.06337612552217e-05,0.9,"mean","qi"
"422","LL","BLNWR",0,1,9.81263329217656e-05,4.85196677581473e-05,0.000165884052975105,0.9,"mean","qi"
"423","LL","BLNWR",1,0,8.34503945006399e-05,4.24134948689558e-05,0.000146275162875885,0.9,"mean","qi"
"424","LL","BLNWR",1,1,0.000151643222108729,7.88707735364682e-05,0.000256775538394988,0.9,"mean","qi"
"425","LL","BS",0,0,1.47887317242603e-05,9.88303963689846e-06,2.17657063714616e-05,0.9,"mean","qi"
"426","LL","BS",0,1,2.70804147651987e-05,1.77834662697896e-05,4.12631640885968e-05,0.9,"mean","qi"
"427","LL","BS",1,0,2.29096529462425e-05,1.47931278698816e-05,3.32683896127704e-05,0.9,"mean","qi"
"428","LL","BS",1,1,4.1625363857117e-05,2.82921017161747e-05,5.86940406820302e-05,0.9,"mean","qi"
"429","LL","CNWR",0,0,0.00293314161339164,0.0021826652569995,0.00365801210666881,0.9,"mean","qi"
"430","LL","CNWR",0,1,0.00537449189593352,0.00401238021410365,0.00671751266081576,0.9,"mean","qi"
"431","LL","CNWR",1,0,0.00452545873883134,0.00367974599421006,0.00535493773189046,0.9,"mean","qi"
"432","LL","CNWR",1,1,0.00822227953096072,0.00728845287822423,0.0093063128449624,0.9,"mean","qi"
"433","LL","HB",0,0,0.00113166277419519,0.00085025890366459,0.00141256091395722,0.9,"mean","qi"
"434","LL","HB",0,1,0.00207317190743831,0.00153294551370295,0.00260837872719199,0.9,"mean","qi"
"435","LL","HB",1,0,0.00174767188597611,0.00141537449493112,0.00208810684849546,0.9,"mean","qi"
"436","LL","HB",1,1,0.00317516144936476,0.00272791495256739,0.00362692422642415,0.9,"mean","qi"
"437","LL","HI",0,0,4.63575480983482e-05,3.19237969775223e-05,6.50094710520109e-05,0.9,"mean","qi"
"438","LL","HI",0,1,8.49050091284938e-05,5.88550054842655e-05,0.000119730311237665,0.9,"mean","qi"
"439","LL","HI",1,0,7.17466664794461e-05,5.04930688703895e-05,9.99240593833642e-05,0.9,"mean","qi"
"440","LL","HI",1,1,0.00013036277949146,9.4114569980477e-05,0.000173024690963834,0.9,"mean","qi"
"441","LL","LINWR",0,0,0.00020866534512255,0.000153590296246542,0.000275974922104418,0.9,"mean","qi"
"442","LL","LINWR",0,1,0.000382157065707163,0.000272368289609937,0.00050964329759747,0.9,"mean","qi"
"443","LL","LINWR",1,0,0.000322738179843368,0.000240591757273078,0.000414027189438789,0.9,"mean","qi"
"444","LL","LINWR",1,1,0.00058631898553095,0.00046242113307351,0.000717445270307646,0.9,"mean","qi"
